Probe Name,Class Name,,Avg Count,Min Count,Max Count,%CV,,20230616_210462891024_K1241-B_02.RCC,20230616_210462891024_K1628-B_03.RCC,20230616_210462891024_K1865-B_04.RCC,20230616_210462891024_K2032-B_05.RCC,20230616_210462891024_K2068-B_06.RCC,20230616_210462891024_K2323-B_07.RCC,20230616_210462891024_K2360-B_08.RCC,20230616_210462891024_K2520-B_09.RCC,20230616_210462891024_K2669-B_10.RCC,20230616_210462891024_K2742-B_11.RCC,20230616_210462891024_K2849-B_12.RCC,20230616_210462891024_K853-B_01.RCC,20230707_210462871024_K1241-Tx_09.RCC,20230707_210462871024_K1628-Tx_10.RCC,20230707_210462871024_K2032-Tx_11.RCC,20230707_210462871024_K2360-Tx_12.RCC,20230707_210462871024_K4106-B_01.RCC,20230707_210462871024_K4196-B_02.RCC,20230707_210462871024_K4258-B_03.RCC,20230707_210462871024_K4307-B_04.RCC,20230707_210462871024_K4360-B_05.RCC,20230707_210462871024_K4368-B_06.RCC,20230707_210462871024_K5046-B_07.RCC,20230707_210462871024_K853-Tx_08.RCC,20230707_210462881024_K2894-B_01.RCC,20230707_210462881024_K2917-B_02.RCC,20230707_210462881024_K3056-B_03.RCC,20230707_210462881024_K3566-B_04.RCC,20230707_210462881024_K3812-B_05.RCC,20230707_210462881024_K3953-B_06.RCC,20230707_210462881024_K3975-B_07.RCC,20230707_210462881024_K4010-B_08.RCC,20230707_210462881024_K4020-B_09.RCC,20230707_210462881024_K4023-B_10.RCC,20230707_210462881024_K4054-B_11.RCC,20230707_210462881024_K4093-B_12.RCC,20230707_210462901024_K2742-Tx_01.RCC,20230707_210462901024_K2849-Tx_02.RCC,20230707_210462901024_K2894-Tx_03.RCC,20230707_210462901024_K2917-Tx_04.RCC,20230707_210462901024_K3056-Tx_05.RCC,20230707_210462901024_K3566-Tx_06.RCC,20230707_210462901024_K3953-Tx_07.RCC,20230707_210462901024_K3975-Tx_08.RCC,20230707_210462901024_K4106-Tx_09.RCC,20230707_210462901024_K4258-Tx_10.RCC,20230707_210462901024_K4360-Tx_11.RCC,20230707_210462901024_K4368-Tx_12.RCC
,,,,,,,,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Treatment,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALCAM,Endogenous,,451.62,9.67,2798.64,110,,276.47,1523.84,643.92,146.9,303.5,313.47,63.34,121.26,2798.64,14.97,132.07,718.89,213.17,596.22,565.13,39.06,552.86,203.06,49.19,142.7,149.71,663.63,923.38,1601.15,614.96,833.68,178.58,62.47,287.5,151.17,97.65,323.15,285.77,263.55,799.59,540.13,9.67,323.15,243.9,1031.93,149.79,480.18,327.28,399.79,758.6,75.73,212.24,470.77
AMBP,Endogenous,,421.04,2.79,16472.48,571.25,,92.16,2.79,18.85,6.63,11.63,9.41,20.36,8.66,3.08,18.29,10.16,18.82,7.2,3006.93,3.54,14.65,20.86,4.24,9.37,8.35,7.93,6.36,12.34,35.85,23.86,23.71,11.43,25.72,4.83,5.32,13.73,8.11,4.31,2.91,12.97,29.71,3.87,4.63,40.04,12.21,12.19,46.85,32.73,14.28,16472.48,18.03,21.66,6.1
AMICA1,Endogenous,,302.78,44.7,2569.58,131.29,,184.32,241.1,860.65,91.93,258.15,197.68,117.63,108.89,67.86,123.07,62.99,353.8,186.19,160.25,141.5,335.63,2569.58,138.38,238.94,241.17,48.44,118.23,832.33,280.8,434.71,114.58,74.29,187.4,44.7,122.43,308.2,152.36,355.41,100.76,1016.55,313.28,80.23,231.04,218.42,360.26,266.49,808.1,184.1,149.92,396.18,331.76,212.24,110.64
ANP32B,Endogenous,,814.45,328.59,1942.69,36.87,,1128.94,1085.4,515.14,846.32,641.89,942.3,717.11,1942.69,725.88,926.32,1005.79,462.95,986.72,636.71,723.44,717.65,740.62,1682.29,693.41,438.12,1137.78,678.89,686.66,471.98,652.07,952.22,328.59,617.31,1047.92,989.02,677.44,461.5,1049.73,1065.45,739.94,761.59,1188.94,1107.88,469.61,714.41,534.72,515.31,867.3,778.16,763.93,750.06,745.01,780.55
ANXA1,Endogenous,,5530.64,358.62,27831.89,81.21,,5391.25,4411.42,5393.22,7937.18,2066.38,6947.21,2741.74,1025.79,735.82,492.26,8464.88,3808.97,7039.26,1813.63,14295.43,2626.5,5149.6,9276.2,3092.22,4120.83,7320.74,5226.44,6681.56,1738.56,9015.02,2520.81,7086.14,3553.21,6989.34,27831.89,4763.42,5945.2,6028.4,4334.26,6019.8,8512.48,358.62,7284.32,1314.17,4921.5,2704.97,3501.78,14437.22,5857.65,4313.54,4936.7,3382.88,2060.11
APOE,Endogenous,,2185.31,98.78,10636.38,105.14,,575.99,218.76,3587.1,959.1,1559.38,10636.38,2002.02,1945.16,3694.16,967.89,388.09,3522.92,634.13,2219.44,1238.16,988.6,1968.04,818.61,986.23,3589.25,891.21,277.15,2292.58,585.49,1346.55,98.78,5657.48,970.06,4534.13,1076.31,4114.97,717.07,2775.82,1612.13,4289.24,8250.51,1119.34,955.57,189.3,146.55,6582.14,843.24,1546.41,845.99,7481.19,587.79,996.24,1612.22
APP,Endogenous,,4712.44,629.1,15124.88,64.37,,5667.73,1764.01,3916.91,4479.89,629.1,7053.58,5230.12,5875.08,3374.41,2007.3,3696.02,5871.53,3663.55,1423.34,2734.56,5493.43,10247.04,2185.97,2930.58,3157.8,5384.22,2533.76,4250.35,9009.45,15124.88,766.51,14729.46,4284.43,6769.49,7906.8,4778.68,4482.55,2869.88,4455,3859.62,3181.38,1915.84,3585.56,2606.49,1550.94,4208.11,2881.06,5633.34,4679.69,9684.15,6498.13,3582.13,3583.06
ARG1,Endogenous,,55.87,3.02,1376.85,378.58,,23.04,7.45,12.56,3.79,5.81,13.18,9.05,13.61,6.85,6.65,12.19,22.58,4.5,576.4,8.84,9.76,45.2,6.89,11.71,14.19,14.97,16.53,7.05,65.72,13.25,23.71,14.29,3.67,3.02,7.45,21.36,3.19,6.46,3.75,8.64,27.01,8.7,8.23,98.29,12.21,12.19,23.42,36.82,7.14,1376.85,10.82,25.99,6.87
ARG2,Endogenous,,91.48,11.37,522.66,98.89,,161.28,153.59,59.68,11.37,63.96,73.43,24.88,49.5,96.65,23.28,144.26,37.64,35.98,120.62,27.42,43.94,260.78,43.48,44.51,60.09,25.54,69.92,27.02,137.41,66.27,102.73,160.01,55.12,39.26,20.23,169.36,40.79,22.98,31.23,23.34,135.03,21.27,32.93,160.18,152.65,62.7,81.98,28.64,85.67,245.17,252.42,82.3,522.66
ATF1,Endogenous,,304.24,150.01,518.46,29.5,,368.63,192.69,342.38,421.74,150.01,338.89,180.97,518.46,338.95,162.98,282.43,350.03,277.94,218.84,310.42,184.29,243.4,406.13,498.97,338.81,307.34,273.34,385.33,268.85,214.71,308.19,332.88,260.89,495.27,314.06,289.89,258.03,204.63,307.27,382.94,496.92,206.86,314.41,236.62,274.77,287.39,269.37,302.74,456.9,252.27,274.06,238.23,262.47
