Probe Name,Class Name,,Avg Count,Min Count,Max Count,%CV,,20230616_210462891024_K1241-B_02.RCC,20230616_210462891024_K1628-B_03.RCC,20230616_210462891024_K1865-B_04.RCC,20230616_210462891024_K2032-B_05.RCC,20230616_210462891024_K2068-B_06.RCC,20230616_210462891024_K2323-B_07.RCC,20230616_210462891024_K2360-B_08.RCC,20230616_210462891024_K2520-B_09.RCC,20230616_210462891024_K2669-B_10.RCC,20230616_210462891024_K2742-B_11.RCC,20230616_210462891024_K2849-B_12.RCC,20230616_210462891024_K853-B_01.RCC,20230707_210462871024_K1241-Tx_09.RCC,20230707_210462871024_K1628-Tx_10.RCC,20230707_210462871024_K2032-Tx_11.RCC,20230707_210462871024_K2360-Tx_12.RCC,20230707_210462871024_K4106-B_01.RCC,20230707_210462871024_K4196-B_02.RCC,20230707_210462871024_K4258-B_03.RCC,20230707_210462871024_K4307-B_04.RCC,20230707_210462871024_K4360-B_05.RCC,20230707_210462871024_K4368-B_06.RCC,20230707_210462871024_K5046-B_07.RCC,20230707_210462871024_K853-Tx_08.RCC,20230707_210462881024_K2894-B_01.RCC,20230707_210462881024_K2917-B_02.RCC,20230707_210462881024_K3056-B_03.RCC,20230707_210462881024_K3566-B_04.RCC,20230707_210462881024_K3812-B_05.RCC,20230707_210462881024_K3953-B_06.RCC,20230707_210462881024_K3975-B_07.RCC,20230707_210462881024_K4010-B_08.RCC,20230707_210462881024_K4020-B_09.RCC,20230707_210462881024_K4023-B_10.RCC,20230707_210462881024_K4054-B_11.RCC,20230707_210462881024_K4093-B_12.RCC,20230707_210462901024_K2742-Tx_01.RCC,20230707_210462901024_K2849-Tx_02.RCC,20230707_210462901024_K2894-Tx_03.RCC,20230707_210462901024_K2917-Tx_04.RCC,20230707_210462901024_K3056-Tx_05.RCC,20230707_210462901024_K3566-Tx_06.RCC,20230707_210462901024_K3953-Tx_07.RCC,20230707_210462901024_K3975-Tx_08.RCC,20230707_210462901024_K4106-Tx_09.RCC,20230707_210462901024_K4258-Tx_10.RCC,20230707_210462901024_K4360-Tx_11.RCC,20230707_210462901024_K4368-Tx_12.RCC
,,,,,,,,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Treatment,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Osteosarcoma : Baseline,Soft Tissue Sarcoma : Baseline,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Soft Tissue Sarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Osteosarcoma : Treatment,Soft Tissue Sarcoma : Treatment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDKN1A,Endogenous,,533.8,57.03,2435.81,84.73,,483.83,1329.29,288.98,153.53,566.31,348.3,183.24,200.46,199.8,126.39,447.02,1200.65,276.14,426.48,97.28,161.1,618.93,169.13,339.68,81.78,172.61,1184.88,225.56,513.8,861.48,600.57,564.32,536.47,370.85,2435.81,936.82,304.96,310.9,175.7,371.7,626.55,57.03,248.54,957.41,457.96,330.94,749.55,1174.12,1559.9,779.92,342.58,606.41,466.96
CEACAM1,Endogenous,,52.05,6.39,152.25,74.37,,138.24,8.38,91.09,85.3,10.47,23.53,144.78,32.17,30.84,44.9,113.79,48.93,27.88,26.71,92.86,42.72,97.36,29.69,32.8,18.36,16.73,19.07,85.17,131.44,26.51,47.41,25.72,33.07,12.08,26.62,21.36,6.39,18.67,24.15,72.61,94.52,59.93,26.76,76.45,42.74,43.54,152.25,61.37,39.27,87.05,57.7,34.65,14.5
CEACAM6,Endogenous,,262.43,3.69,4848.62,324.23,,115.2,15.82,612.51,9.48,5.81,6.59,24.88,24.75,11.31,4.99,24.38,199.48,19.79,17.23,21.23,6.1,31.29,7.42,7.03,10.85,13.21,12.71,2700.82,89.62,204.1,27.66,12.86,29.4,13.29,15.97,7.63,3.69,9.33,6.66,2419.5,18.9,12.57,180.62,313.07,24.42,151.53,4848.62,28.64,14.28,177.66,32.45,38.98,12.21
CEACAM8,Endogenous,,19.72,2.74,69.12,89.71,,69.12,10.24,53.4,3.79,8.14,8.47,6.79,9.9,2.74,18.29,14.22,30.11,5.4,14.65,7.96,18.31,20.86,10.6,11.71,8.35,17.61,6.36,9.4,65.72,10.6,39.51,11.43,22.05,4.23,8.52,22.89,5.16,8.62,7.49,9.51,16.2,10.63,5.15,43.68,12.21,31.35,58.56,36.82,35.7,17.77,64.91,21.66,9.92
CEBPB,Endogenous,,895.37,175.75,4423.68,81.79,,575.99,1476.37,907.77,337.39,1448.91,1215.29,219.43,1404.43,193.64,296.02,985.47,873.2,566.67,607.42,704.87,175.75,785.83,1095.9,1147.87,752.73,610.28,2546.48,1272.29,394.31,866.78,561.06,291.45,176.37,209.58,963.46,826.96,303,2577.65,440.92,1229.2,4423.68,269.69,874.26,495.09,787.68,841.27,784.68,613.65,1409.98,703.53,876.27,965.92,891.19
CFB,Endogenous,,225.05,13.3,2234.94,150.19,,138.24,65.16,135.07,316.54,382.58,114.85,45.24,95.28,40.1,13.3,26.41,297.34,125.93,728.9,724.32,36.61,128.65,84.83,86.68,58.42,81.02,242.82,179.74,466.01,262.42,130.39,485.74,102.89,379.3,119.24,186.14,33.67,79.7,56.21,273.16,159.34,23.2,77.19,141.97,146.55,243.85,234.23,351.83,146.35,2234.94,90.15,142.94,86.98
CFD,Endogenous,,876.65,34.44,16425.75,278.32,,852.46,34.44,1284.7,1872.7,93.03,639.18,567.8,486.29,234.08,314.32,542.52,2246.99,125.93,36.19,1348.71,69.57,194.72,202.53,1300.14,167.74,237.77,85.18,844.67,197.16,1277.64,55.32,251.44,121.26,226.5,16425.75,158.68,63.16,271.41,222.33,640.53,958.73,253.25,383.36,80.09,91.59,165.47,690.99,5097.41,67.82,229.18,176.7,151.6,40.44
CFI,Endogenous,,313.89,17.52,1601.09,106.81,,184.32,103.33,342.38,688.99,59.31,514.92,391.35,269.75,47.64,28.27,87.37,267.23,720.48,368.76,769.43,278.27,125.18,252.9,267.06,630.06,186.7,53.4,493.41,543.67,296.88,102.73,118.58,58.79,17.52,41.52,611.83,485.58,63.9,54.96,759.82,259.26,51.23,164.15,232.98,128.23,26.13,538.74,69.55,107.09,1403.5,1601.09,168.93,29.76
CFP,Endogenous,,50.48,6.64,274.69,95.35,,138.24,14.89,59.68,28.43,25.58,44.24,61.08,25.98,13.71,33.26,22.35,60.22,18.89,38.77,20.34,81.77,274.69,24.39,37.48,13.35,14.97,35.6,93.98,89.62,34.46,51.36,24.29,58.79,6.64,30.87,33.57,14.5,32.31,14.57,61.37,48.61,28.03,22.13,65.53,48.85,45.29,199.1,65.46,35.7,101.27,72.12,38.98,17.55
CHIT1,Endogenous,,50.16,6.36,344.23,124.27,,92.16,13.03,43.97,10.42,75.58,34.83,29.41,12.37,29.82,13.3,12.19,86.57,19.79,21.54,13.27,29.29,344.23,6.36,37.48,25.04,14.97,13.98,113.95,137.41,21.21,27.66,27.14,22.05,7.25,7.45,16.78,8.11,83.29,21.65,188.44,56.71,13.53,29.85,123.77,24.42,47.03,199.1,49.09,78.53,49.74,21.64,43.31,9.16
CHUK,Endogenous,,381.53,163.82,777.28,28.85,,506.87,777.28,452.31,414.15,382.58,371.84,402.67,382.35,378.7,286.04,408.41,323.69,345.4,249,327.23,335.63,292.08,626.15,470.86,369.69,296.78,297.49,398.84,185.21,413.51,434.62,407.17,503.4,320.11,520.59,620.98,346.74,371.21,309.35,406.28,415.9,260.02,327.27,163.82,451.85,362.29,374.77,310.92,489.03,278.92,371.42,298.87,273.15
CKLF,Endogenous,,795.68,270.01,3545.86,68,,737.27,1356.29,577.96,704.16,356.99,903.7,950.11,525.89,683.04,382.5,755.87,526.93,940.85,429.07,581.05,956.86,688.47,989.33,379.5,1064.84,1038.27,545.4,590.33,525.75,683.88,746.76,745.76,459.31,649.89,285.31,3545.86,595.18,532.76,1114.58,1045.08,656.26,442.71,817.66,571.54,604.5,836.05,386.48,270.01,2541.53,668,825.79,1035.22,942.31
CLEC4A,Endogenous,,192.81,72.37,699.43,69.08,,460.79,112.64,219.87,89.09,127.91,699.43,79.18,148.49,82.94,106.44,191,158.08,225.77,72.37,85.79,137.92,239.92,184.51,159.3,189.43,76.62,99.16,189.73,137.41,225.31,126.44,691.47,246.19,74.29,150.11,236.49,308.65,246.99,102.01,239.44,421.3,109.23,181.64,182.02,189.29,210.75,163.96,175.91,92.81,133.24,183.91,207.91,81.64
CLEC4C,Endogenous,,18.74,2.21,105.4,103.38,,69.12,12.1,37.69,7.58,8.14,14.12,6.79,6.19,5.48,8.32,16.26,18.82,4.5,8.62,7.08,15.87,59.11,14.85,21.08,14.19,10.57,7.63,31.72,59.74,7.95,15.8,14.29,14.7,4.23,8.52,16.78,2.21,14.36,19.57,29.39,8.1,13.53,21.1,14.56,30.53,15.68,105.4,16.36,3.57,12.44,36.06,4.33,4.58
CLEC5A,Endogenous,,99.09,1.66,567.14,130.32,,161.28,28.86,62.82,22.75,29.07,163.8,4.52,39.6,8.91,1.66,85.34,45.17,33.28,39.63,44.22,9.76,41.73,133.61,74.96,251.19,59,80.09,82.82,83.64,55.66,55.32,15.72,14.7,85.77,8.52,38.14,5.9,47.39,30.81,60.51,567.14,5.8,203.77,87.37,122.12,440.67,81.98,16.36,324.83,37.31,504.85,307.53,50.36
CLEC6A,Endogenous,,28.86,4.46,161.28,99.39,,161.28,13.03,34.55,6.63,11.63,18.83,24.88,11.14,4.46,16.63,36.57,26.35,18.89,16.37,14.15,15.87,41.73,6.89,39.82,8.35,10.57,5.09,36.42,95.59,23.86,43.46,17.14,47.77,7.85,13.84,16.78,5.41,8.62,7.49,18.15,40.51,24.17,11.84,65.53,24.42,17.42,93.69,53.18,35.7,21.32,43.27,60.64,7.63
CLEC7A,Endogenous,,110.82,20.3,397,79.2,,69.12,40.96,113.08,58.76,87.21,128.97,42.98,85.38,45.58,24.95,107.69,94.1,104.34,36.19,65.45,96.42,389.44,109.75,58.56,252.02,34.34,68.65,180.33,65.72,92.77,63.22,202.87,106.56,29.6,38.33,51.88,29.73,220.43,62.04,257.6,397,20.3,133.27,101.93,238.14,196.82,245.94,49.09,67.82,62.18,133.42,82.3,76.3
CLU,Endogenous,,26.72,4.67,117.12,95.25,,92.16,18.62,18.85,9.48,33.72,14.12,11.31,32.17,6.85,18.29,10.16,52.69,10.79,29.29,25.65,13.43,52.16,7.42,23.43,10.85,12.33,29.24,12.92,107.54,23.86,19.76,8.57,7.35,12.68,12.78,15.26,4.67,7.9,5,16.42,24.31,20.3,5.66,76.45,24.42,48.77,117.12,28.64,28.56,35.53,50.48,21.66,12.97
CMA1,Endogenous,,34.91,3.44,142.09,90.69,,69.12,32.58,12.56,6.63,30.23,15.06,113.11,21.04,112.07,79.83,32.51,52.69,9.89,12.06,5.31,35.39,38.25,33.4,58.56,10.01,18.49,13.98,15.27,35.85,68.92,19.76,5.71,18.37,27.18,9.58,16.78,3.44,25.13,26.23,21.61,67.52,142.09,5.15,25.48,18.32,10.45,93.69,61.37,24.99,23.1,32.45,60.64,3.82
CMKLR1,Endogenous,,520.03,62.21,2386.37,82.42,,299.51,157.32,775.84,2386.37,1027.96,540.34,479.58,175.71,237.85,148.01,361.68,511.88,843.7,134.41,1465.45,414.97,285.12,831.34,288.14,531.59,228.97,1031.05,452.29,250.93,561.95,201.51,360.02,437.26,62.21,187.37,324.99,200.03,1321.13,272.3,663.01,413.2,207.82,594.85,331.27,885.38,1355.1,480.18,339.55,464.04,303.8,295.7,277.21,561.57
COL3A1,Endogenous,,57954.65,2722.17,227165,89.35,,117340.4,11497.24,6706.18,76406.36,25701.21,170816.62,40603.59,18446.85,12233.34,77025.73,48019.79,33053.71,133043.52,12685.1,6906.27,21902.93,14137.93,50139.52,127879.67,227165,181940.7,66026.56,12469.11,13980.17,35068.72,14492.66,132392.28,101433.68,2722.17,46462.43,22546.14,77420.02,79182.63,40714.14,55859.52,17532.68,132159.89,70118.04,14557.78,26109.61,39207.19,14335.05,29185.35,85191.09,27235.02,92921.12,74011.98,44837.07
COLEC12,Endogenous,,357.96,14.89,1584.38,98.68,,184.32,14.89,389.49,36.96,81.4,287.11,113.11,405.86,59.63,128.05,520.17,203.25,1017.3,37.91,172.46,41.5,38.25,275.7,356.07,805.31,803.14,69.92,637.91,113.51,288.93,90.88,1584.38,139.63,1124.62,146.92,175.46,868.45,395.62,161.55,350.95,383.49,151.76,1030.18,72.81,91.59,733.28,339.64,265.92,364.1,127.91,843.82,641.06,16.02
CR1,Endogenous,,228.39,10.68,872.67,85.29,,253.43,106.12,213.59,124.15,255.83,283.35,113.11,75.48,82.25,36.59,58.92,184.43,186.19,62.9,277.7,111.06,705.85,367.42,142.9,368.86,103.92,72.47,186.2,155.34,82.17,79.02,95.72,80.84,74.29,257.63,192.25,81.83,552.87,95.35,498.77,688.67,78.3,60.21,211.14,323.62,402.35,456.75,556.38,203.46,172.33,872.67,307.53,10.68
CR2,Endogenous,,56.4,7.2,345.59,103.52,,345.59,11.17,56.54,27.48,22.09,52.72,47.51,23.51,7.2,53.22,58.92,82.8,30.58,14.65,22.11,20.75,62.59,20.15,46.85,43.39,39.63,45.77,12.92,167.28,47.71,55.32,44.29,95.54,16.91,27.68,36.62,15.73,30.87,15.82,27.66,62.12,39.63,28.82,40.04,177.08,52.25,187.39,85.91,74.96,37.31,86.55,86.63,19.08
CREB1,Endogenous,,688.97,417.01,2013.22,40.63,,1221.1,601.35,807.25,758.18,661.66,497.04,1447.79,2013.22,457.87,703.47,898.1,466.71,693.49,417.01,434.24,912.93,664.13,536.02,550.51,798.63,639.34,546.67,674.91,460.03,477.13,446.48,654.33,613.64,532.72,502.49,955.13,727.64,425.78,439.67,683.75,577.94,640.87,729.15,913.73,519.02,881.33,573.87,662.75,638.95,671.55,562.55,714.69,663.81
CREB5,Endogenous,,255.61,39.76,1117.83,87.33,,115.2,191.76,141.35,128.89,103.49,809.57,294.08,55.68,39.76,79.83,142.23,143.02,250.95,239.52,68.98,601.7,375.53,213.14,189.75,755.24,402.45,138.58,195.01,101.57,174.95,122.48,338.59,227.82,263.94,1117.83,328.04,423.9,166.58,102.84,138.31,472.62,50.26,138.94,116.49,152.65,182.89,210.81,781.39,292.7,63.96,252.42,251.23,120.55
CREBBP,Endogenous,,50.87,14.16,276.47,81.33,,276.47,35.37,75.39,17.06,34.89,22.59,65.6,61.87,43.53,46.57,38.61,41.4,40.48,41.36,47.76,42.72,62.59,27.04,35.14,33.38,28.18,38.14,30.54,125.46,34.46,59.27,37.15,62.47,41.07,31.94,24.41,31.7,14.36,14.16,46.68,27.01,43.5,22.13,101.93,61.06,52.25,140.54,40.91,53.54,49.74,57.7,51.98,29.76
CRP,Endogenous,,34.11,1.76,547.19,274.97,,23.04,11.17,12.56,7.58,6.98,7.53,20.36,9.9,4.11,3.33,12.19,22.58,1.8,385.99,7.96,10.98,31.29,6.89,4.69,11.68,1.76,16.53,4.11,47.8,10.6,43.46,10,14.7,13.89,6.39,24.41,8.36,10.77,5.83,9.51,16.2,7.73,5.15,87.37,36.64,26.13,23.42,20.46,7.14,547.19,14.42,8.66,6.1
CSF1,Endogenous,,254.78,55.52,650.47,55.9,,138.24,58.65,298.4,134.58,460.49,472.56,219.43,89.09,55.52,123.07,577.06,233.36,408.36,116.31,405.94,261.19,114.74,297.44,149.93,305.43,125.93,214.85,217.33,149.36,180.25,146.19,341.45,176.37,79.12,358.77,106.8,371.07,483.94,99.09,361.33,418.6,213.62,404.97,127.41,311.41,431.96,175.67,650.47,306.98,193.65,259.64,220.91,182.36
CSF1R,Endogenous,,73.61,10.87,207.36,56.02,,207.36,29.79,84.81,46.44,73.26,121.43,65.6,56.92,17.82,48.23,101.59,71.51,117.83,19.82,42.45,61.02,45.2,112.4,51.54,119.34,34.34,38.14,45.23,41.82,74.22,35.56,110.01,44.09,10.87,47.91,85.44,42.76,128.52,34.56,73.48,121.53,37.7,67.41,101.93,134.33,123.67,117.12,98.18,49.97,39.08,104.58,151.6,45.02
CSF2,Endogenous,,10,1,32.41,72.8,,23.04,8.38,28.27,2.84,4.65,6.59,4.52,6.19,5.14,9.98,6.1,3.76,8.99,6.03,3.54,4.88,17.39,6.89,9.37,5.84,5.28,15.26,21.73,11.95,13.25,7.9,10,3.67,3.62,6.39,9.15,1.47,9.33,1,21.61,32.41,4.83,5.15,21.84,18.32,6.97,11.71,4.09,14.28,10.66,10.82,21.66,3.05
CSF2RB,Endogenous,,226.29,34.43,1773.33,115.28,,276.47,122.88,549.69,75.82,104.66,353.95,165.14,87.85,131.6,39.91,201.16,233.36,138.52,71.51,81.36,125.71,1773.33,211.02,124.16,204.46,70.45,90.26,337.16,89.62,304.83,86.92,211.44,113.91,34.43,85.17,227.34,72.25,352.54,95.35,552.36,478.02,69.6,156.43,211.14,299.2,287.39,386.48,192.28,160.63,202.53,284.88,259.89,77.06
CSF3,Endogenous,,16.57,2.44,92.16,108.2,,92.16,6.52,34.55,8.53,6.98,6.59,9.05,16.09,5.14,13.3,16.26,18.82,8.1,8.62,7.96,2.44,10.43,7.42,7.03,10.85,7.05,13.98,12.34,65.72,13.25,19.76,8.57,14.7,10.87,5.32,12.21,3.19,3.59,5.41,6.92,29.71,11.6,9.26,43.68,24.42,5.23,58.56,53.18,7.14,15.99,14.42,17.33,5.34
CSF3R,Endogenous,,218.18,24.17,3435.38,230.22,,69.12,53.99,471.16,99.51,66.28,224.04,31.67,89.09,47.98,33.26,75.18,252.17,77.35,87.02,58.37,136.69,3435.38,164.36,86.68,191.1,33.46,59.75,630.86,137.41,135.19,31.61,87.15,36.74,45.3,56.42,134.27,43.5,180.22,58.71,501.36,823.7,24.17,173.93,69.17,128.23,196.82,503.6,98.18,96.38,95.94,180.3,86.63,73.25
CT45A1,Endogenous,,62.49,6.1,692.87,197.06,,161.28,20.48,69.1,18.95,18.61,21.65,15.84,73.01,6.51,13.3,24.38,18.82,35.08,12.92,26.53,19.53,507.66,15.38,16.4,58.42,20.25,30.51,18.8,101.57,13.25,27.66,28.57,29.4,10.27,43.65,6.1,6.88,12.21,9.99,26.8,43.21,20.3,37.05,196.58,73.27,24.38,70.27,45,14.28,692.87,18.03,207.91,16.79
CTAG1B,Endogenous,,213.73,6.3,3459.14,298.73,,23.04,10.24,31.41,9.48,10.47,84.72,488.63,18.56,7.88,3459.14,784.31,15.06,6.3,7.75,16.8,25.63,45.2,9.54,9.37,61.75,7.93,16.53,10.57,59.74,21.21,43.46,12.86,14.7,277.83,545.08,13.73,6.39,14.36,11.24,16.42,18.9,2783.86,421.95,18.2,30.53,259.52,70.27,360.01,21.42,21.32,25.24,17.33,12.97
CTAGE1,Endogenous,,15.88,1.47,69.12,100.4,,69.12,5.59,15.71,3.79,9.3,6.59,6.79,7.42,3.08,19.96,10.16,15.06,7.2,7.75,8.84,10.98,17.39,2.65,14.06,4.17,7.05,3.81,8.81,47.8,10.6,19.76,8.57,18.37,4.83,6.39,7.63,1.47,3.59,2.5,8.64,27.01,13.53,4.63,54.61,48.85,22.64,58.56,36.82,17.85,17.77,32.45,17.33,4.58
CTCFL,Endogenous,,23.38,2.5,115.2,110.58,,115.2,9.31,34.55,7.58,10.47,9.41,18.1,11.14,4.46,14.97,20.32,22.58,14.39,26.71,9.73,23.19,62.59,4.24,11.71,11.68,12.33,10.17,8.81,71.69,15.9,47.41,8.57,22.05,6.64,12.78,25.94,2.95,5.74,2.5,12.97,27.01,17.4,8.23,109.21,6.11,26.13,93.69,20.46,32.13,5.33,32.45,25.99,9.16
CTLA4,Endogenous,,113.11,13.3,2547.16,319.89,,184.32,26.06,153.91,18.01,80.24,140.26,126.68,17.32,44.55,13.3,34.54,79.04,62.96,13.79,29.19,2547.16,62.59,62.56,46.85,33.38,15.85,24.16,84.58,77.67,98.08,27.66,25.72,73.49,15.7,35.13,61.03,19.17,34.46,66.2,223.88,89.12,15.47,49.4,156.54,42.74,48.77,58.56,61.37,78.53,72.84,36.06,34.65,25.94
CTSG,Endogenous,,56.4,1.97,222.52,105.12,,23.04,92.16,47.12,4.74,29.07,20.71,190.02,19.8,188.5,206.22,32.51,48.93,8.99,34.46,5.31,69.57,6.95,28.1,60.91,3.34,30.82,10.17,29.96,89.62,74.22,23.71,8.57,7.35,74.29,8.52,56.45,1.97,76.83,41.64,72.61,132.33,187.52,11.32,80.09,152.65,19.16,222.52,28.64,32.13,15.99,32.45,56.31,9.16
CTSH,Endogenous,,599.8,73.17,5028.64,138.04,,299.51,163.83,2547.41,156.37,306.99,864.17,348.37,520.94,397.55,73.17,150.36,447.89,372.38,170.59,188.38,807.96,490.27,530.19,210.83,1109.07,302.06,387.76,5028.64,460.03,227.96,134.34,248.59,209.44,370.85,179.92,318.88,416.53,363.31,134.9,1926.79,575.24,108.26,868.09,105.57,390.79,332.68,1557.65,360.01,364.1,731.95,1885.97,337.86,305.96
CTSL,Endogenous,,748.89,185.61,4626.23,94.48,,391.67,649.75,361.22,219.87,639.57,1989.09,404.93,185.61,416.4,216.2,225.54,944.71,637.73,464.39,417.44,468.67,319.89,1165.36,339.68,1147.46,717.72,664.91,1037.92,639.26,551.35,671.69,618.61,253.54,480.17,1155.09,444,481.41,821.4,674.5,787.48,4626.23,394.38,568.61,371.32,983.08,393.64,538.74,1030.94,903.1,607.59,2412.46,879.29,633.29
CTSS,Endogenous,,1123.38,184.6,4637.44,85.72,,691.19,533.39,1890.92,428.37,941.9,3703.3,425.29,303.16,699.15,184.6,485.62,685.01,1109.95,299.83,667.72,1052.06,2840.8,1847.71,515.37,1538.85,417.42,472.94,4637.44,322.62,495.68,367.45,902.91,775.31,313.47,578.08,637.77,818.07,1930.01,911.4,3220.82,2781.68,288.05,1284.38,305.79,1074.67,1802.73,1733.32,1652.77,1185.09,930.93,1803.03,567.42,866.77
CTSW,Endogenous,,58.3,11.3,330.33,98.38,,69.12,40.03,185.32,27.48,61.63,39.54,27.15,25.98,38.73,13.3,28.45,48.93,59.37,25.85,15.92,28.07,330.33,39.76,21.08,30.04,21.14,24.16,157.42,83.64,45.06,11.85,30,33.07,16.31,27.68,48.82,11.3,68.21,26.23,180.66,83.72,26.1,49.4,98.29,36.64,47.03,117.12,65.46,64.25,47.97,39.67,129.94,51.12
CX3CL1,Endogenous,,252.69,21.59,860.79,88.93,,184.32,229,436.61,537.36,717.48,112.02,135.73,314.29,21.59,93.13,93.47,274.76,860.79,541.94,465.19,216.03,55.63,33.4,220.2,37.55,34.34,607.7,629.68,304.7,265.07,209.41,71.43,84.51,94.83,42.58,77.81,232.72,62.47,50.38,441.72,64.82,127.59,267.58,404.08,384.68,130.63,585.58,77.73,228.45,97.71,79.33,64.97,826.33
CX3CR1,Endogenous,,142.31,25.42,629.36,96.19,,253.43,79.12,201.03,26.54,74.42,25.42,54.29,200.46,40.1,41.58,156.46,222.06,382.28,56.86,31.84,92.76,629.36,40.82,103.07,277.89,43.15,90.26,246.7,286.77,198.8,79.02,34.29,33.07,74.89,27.68,54.93,112.55,41.64,44.55,356.14,29.71,72.5,503.77,283.95,378.58,128.89,269.37,61.37,28.56,71.06,119,34.65,135.05
CXCL1,Endogenous,,265.3,5.9,4247.82,254.83,,184.32,30.72,131.92,14.22,37.21,34.83,36.19,29.7,30.84,19.96,20.32,1373.79,27.88,24.99,23.88,17.09,194.72,88.54,32.8,24.2,14.97,55.94,55.8,4247.82,1073.53,59.27,25.72,22.05,48.32,493.98,25.94,5.9,59.59,10.83,86.44,893.92,11.6,21.61,1299.61,79.38,57.48,105.4,859.11,139.21,291.36,140.64,164.6,6.1
CXCL10,Endogenous,,231.24,11.45,2614.16,179.75,,138.24,12.1,50.26,111.83,168.61,174.15,38.46,25.98,138.8,13.3,377.93,75.28,312.12,24.99,59.25,124.49,38.25,1214.13,23.43,243.68,11.45,44.5,255.51,47.8,42.41,39.51,621.47,106.56,16.31,33,48.82,54.31,277.87,364.73,567.92,135.03,19.33,403.94,109.21,103.8,249.07,456.75,2614.16,603.26,122.58,28.85,112.62,243.4
CXCL11,Endogenous,,74.29,6.88,634.11,131.11,,115.2,13.03,56.54,82.45,59.31,51.77,22.62,17.32,34.27,18.29,138.17,63.98,71.96,20.68,34.49,40.28,31.29,128.84,23.43,40.06,10.57,20.34,81.06,101.57,18.55,27.66,258.59,44.09,8.46,28.74,39.67,6.88,68.93,126.57,192.77,56.71,12.57,97.25,47.32,42.74,76.64,163.96,634.11,128.5,47.97,32.45,69.3,57.99
CXCL12,Endogenous,,832.42,58.25,4591.37,98.16,,253.43,2022.79,395.77,174.38,620.96,1120.21,493.15,496.19,239.56,924.65,241.8,654.9,234.76,432.52,137.08,435.72,239.92,2521.05,1079.93,1485.44,1120.17,555.57,1014.42,125.46,442.67,82.97,915.77,900.24,780.96,579.14,515.71,824.95,1359.19,241.49,1084.84,839.91,2106.26,287.13,58.25,769.37,1187.89,831.53,1071.85,2570.08,479.68,108.18,4591.37,306.73
CXCL13,Endogenous,,85.21,4.83,1193.61,207.79,,92.16,9.31,18.85,10.42,16.28,252.28,9.05,13.61,46.61,13.3,50.8,26.35,369.68,14.65,15.92,17.09,59.11,126.72,44.51,55.91,144.42,20.34,6.46,107.54,42.41,31.61,124.29,14.7,4.83,30.87,93.07,70.04,79.7,179.03,31.98,43.21,21.27,20.07,58.25,79.38,24.38,128.83,45,121.36,19.54,1193.61,56.31,35.1
CXCL14,Endogenous,,1261.69,12.1,9091.59,158.83,,967.66,12.1,260.71,33.17,189.54,919.71,445.65,1072.81,789.62,237.82,4189.77,7730.85,1805.24,46.53,19.46,393,702.38,12.72,9091.59,196.95,1571.94,2176.52,197.36,197.16,5304.04,39.51,868.62,2381.05,1157.84,158.63,274.64,1280.55,285.05,1043.8,300.82,37.81,25.13,4297.21,3061.54,42.74,151.53,281.08,278.19,199.9,4691.96,86.55,1022.23,30.52
CXCL16,Endogenous,,220.45,47.32,883.12,81.23,,115.2,101.47,637.64,82.45,140.7,536.57,151.57,150.96,137.77,48.23,193.03,218.3,295.03,97.36,160.08,123.27,142.56,182.39,72.62,242.84,73.97,129.68,592.09,197.16,198.8,118.53,185.73,139.63,167.91,231.02,143.42,121.89,288.64,110.33,628.43,883.12,52.2,186.28,47.32,329.73,311.78,585.58,241.37,110.66,158.12,245.21,147.27,125.9
